Sample ID,Experiment,Chamber/Plot Name,Depth,CO2 Treatment,N Treatment,Temp Treatment
P1A-20,Phragmites,P1,20,Amb,Amb,NA
P1A-40,Phragmites,P1,40,Amb,Amb,NA
P1B-20,Phragmites,P1,20,Amb,Amb,NA
P1B-40,Phragmites,P1,40,Amb,Amb,NA
P2A-20,Phragmites,P2,20,Elev,Amb,NA
P2A-40,Phragmites,P2,40,Elev,Amb,NA
P2B-20,Phragmites,P2,20,Elev,Amb,NA
P2B-40,Phragmites,P2,40,Elev,Amb,NA
P3A-20,Phragmites,P3,20,Amb,N,NA
P3A-40,Phragmites,P3,40,Amb,N,NA
P3B-20,Phragmites,P3,20,Amb,N,NA
P3B-40,Phragmites,P3,40,Amb,N,NA
P4A-20,Phragmites,P4,20,Elev,N,NA
P4A-40,Phragmites,P4,40,Elev,N,NA
P4B-20,Phragmites,P4,20,Elev,N,NA
P4B-40,Phragmites,P4,40,Elev,N,NA
P5A-20,Phragmites,P5,20,Elev,Amb,NA
P5A-40,Phragmites,P5,40,Elev,Amb,NA
P5B-20,Phragmites,P5,20,Elev,Amb,NA
P5B-40,Phragmites,P5,40,Elev,Amb,NA
P6A-20,Phragmites,P6,20,Amb,N,NA
P6A-40,Phragmites,P6,40,Amb,N,NA
P6B-20,Phragmites,P6,20,Amb,N,NA
P6B-40,Phragmites,P6,40,Amb,N,NA
P7A-20,Phragmites,P7,20,Elev,N,NA
P7A-40,Phragmites,P7,40,Elev,N,NA
P7B-20,Phragmites,P7,20,Elev,N,NA
P7B-40,Phragmites,P7,40,Elev,N,NA
P8A-20,Phragmites,P8,20,Amb,Amb,NA
P8A-40,Phragmites,P8,40,Amb,Amb,NA
P8B-20,Phragmites,P8,20,Amb,Amb,NA
P8B-40,Phragmites,P8,40,Amb,Amb,NA
P9A-20,Phragmites,P9,20,Elev,N,NA
P9A-40,Phragmites,P9,40,Elev,N,NA
P9B-20,Phragmites,P9,20,Elev,N,NA
P9B-40,Phragmites,P9,40,Elev,N,NA
P10A-20,Phragmites,P10,20,Elev,Amb,NA
P10A-40,Phragmites,P10,40,Elev,Amb,NA
P10B-20,Phragmites,P10,20,Elev,Amb,NA
P10B-40,Phragmites,P10,40,Elev,Amb,NA
P11A-20,Phragmites,P11,20,Amb,Amb,NA
P11A-40,Phragmites,P11,40,Amb,Amb,NA
P11B-20,Phragmites,P11,20,Amb,Amb,NA
P11B-40,Phragmites,P11,40,Amb,Amb,NA
P12A-20,Phragmites,P12,20,Amb,N,NA
P12A-40,Phragmites,P12,40,Amb,N,NA
P12B-20,Phragmites,P12,20,Amb,N,NA
P12B-40,Phragmites,P12,40,Amb,N,NA
L1-20,CO2xN,L1,20,Elev,N,NA
L1-40,CO2xN,L1,40,Elev,N,NA
L1-80,CO2xN,L1,80,Elev,N,NA
L2-20,CO2xN,L2,20,Amb,Amb,NA
L2-40,CO2xN,L2,40,Amb,Amb,NA
L2-80,CO2xN,L2,80,Amb,Amb,NA
L3-20,CO2xN,L3,20,Elev,Amb,NA
L3-40,CO2xN,L3,40,Elev,Amb,NA
L3-80,CO2xN,L3,80,Elev,Amb,NA
L4-20,CO2xN,L4,20,Amb,N,NA
L4-40,CO2xN,L4,40,Amb,N,NA
L4-80,CO2xN,L4,80,Amb,N,NA
L5-20,CO2xN,L5,20,Elev,N,NA
L5-40,CO2xN,L5,40,Elev,N,NA
L5-80,CO2xN,L5,80,Elev,N,NA
L6-20,CO2xN,L6,20,Amb,Amb,NA
L6-40,CO2xN,L6,40,Amb,Amb,NA
L6-80,CO2xN,L6,80,Amb,Amb,NA
L7-20,CO2xN,L7,20,Amb,Amb,NA
L7-40,CO2xN,L7,40,Amb,Amb,NA
L7-80,CO2xN,L7,80,Amb,Amb,NA
L8-20,CO2xN,L8,20,Elev,Amb,NA
L8-40,CO2xN,L8,40,Elev,Amb,NA
L8-80,CO2xN,L8,80,Elev,Amb,NA
L9-20,CO2xN,L9,20,Elev,Amb,NA
L9-40,CO2xN,L9,40,Elev,Amb,NA
L9-80,CO2xN,L9,80,Elev,Amb,NA
L10-20,CO2xN,L10,20,Amb,N,NA
L10-40,CO2xN,L10,40,Amb,N,NA
L10-80,CO2xN,L10,80,Amb,N,NA
L11-20,CO2xN,L11,20,Amb,N,NA
L11-40,CO2xN,L11,40,Amb,N,NA
L11-80,CO2xN,L11,80,Amb,N,NA
L12-20,CO2xN,L12,20,Elev,N,NA
L12-40,CO2xN,L12,40,Elev,N,NA
L12-80,CO2xN,L12,80,Elev,N,NA
L13-20,CO2xN,L13,20,Elev,Amb,NA
L13-40,CO2xN,L13,40,Elev,Amb,NA
L13-80,CO2xN,L13,80,Elev,Amb,NA
L14-20,CO2xN,L14,20,Amb,N,NA
L14-40,CO2xN,L14,40,Amb,N,NA
L14-80,CO2xN,L14,80,Amb,N,NA
L15-20,CO2xN,L15,20,Elev,N,NA
L15-40,CO2xN,L15,40,Elev,N,NA
L15-80,CO2xN,L15,80,Elev,N,NA
L16-20,CO2xN,L16,20,Amb,Amb,NA
L16-40,CO2xN,L16,40,Amb,Amb,NA
L16-80,CO2xN,L16,80,Amb,Amb,NA
L17-20,CO2xN,L17,20,Amb,Amb,NA
L17-40,CO2xN,L17,40,Amb,Amb,NA
L17-80,CO2xN,L17,80,Amb,Amb,NA
L18-20,CO2xN,L18,20,Elev,N,NA
L18-40,CO2xN,L18,40,Elev,N,NA
L18-80,CO2xN,L18,80,Elev,N,NA
L19-20,CO2xN,L19,20,Elev,Amb,NA
L19-40,CO2xN,L19,40,Elev,Amb,NA
L19-80,CO2xN,L19,80,Elev,Amb,NA
L20-20,CO2xN,L20,20,Amb,N,NA
L20-40,CO2xN,L20,40,Amb,N,NA
L20-80,CO2xN,L20,80,Amb,N,NA
SC1-20,CO2xComm,SC1,20,Elev,NA,NA
SC2-20,CO2xComm,SC2,20,Amb,NA,NA
SC4-20,CO2xComm,SC4,20,Amb,NA,NA
SC6-20,CO2xComm,SC6,20,Elev,NA,NA
SC8-20,CO2xComm,SC8,20,Amb,NA,NA
SC9-20,CO2xComm,SC9,20,Elev,NA,NA
SC10-20,CO2xComm,SC10,20,Elev,NA,NA
SC12-20,CO2xComm,SC12,20,Amb,NA,NA
SC14-20,CO2xComm,SC14,20,Elev,NA,NA
SC15-20,CO2xComm,SC15,20,Amb,NA,NA
SC1-40,CO2xComm,SC1,40,Elev,NA,NA
SC2-40,CO2xComm,SC2,40,Amb,NA,NA
SC4-40,CO2xComm,SC4,40,Amb,NA,NA
SC6-40,CO2xComm,SC6,40,Elev,NA,NA
SC8-40,CO2xComm,SC8,40,Amb,NA,NA
SC9-40,CO2xComm,SC9,40,Elev,NA,NA
SC10-40,CO2xComm,SC10,40,Elev,NA,NA
SC12-40,CO2xComm,SC12,40,Amb,NA,NA
SC14-40,CO2xComm,SC14,40,Elev,NA,NA
SC15-40,CO2xComm,SC15,40,Amb,NA,NA
SC1-80,CO2xComm,SC1,80,Elev,NA,NA
SC2-80,CO2xComm,SC2,80,Amb,NA,NA
SC4-80,CO2xComm,SC4,80,Amb,NA,NA
SC6-80,CO2xComm,SC6,80,Elev,NA,NA
SC8-80,CO2xComm,SC8,80,Amb,NA,NA
SC9-80,CO2xComm,SC9,80,Elev,NA,NA
SC10-80,CO2xComm,SC10,80,Elev,NA,NA
SC12-80,CO2xComm,SC12,80,Amb,NA,NA
SC14-80,CO2xComm,SC14,80,Elev,NA,NA
SC15-80,CO2xComm,SC15,80,Amb,NA,NA
SP1-20,CO2xComm,SP1,20,Elev,NA,NA
SP2-20,CO2xComm,SP2,20,Amb,NA,NA
SP4-20,CO2xComm,SP4,20,Elev,NA,NA
SP5-20,CO2xComm,SP5,20,Amb,NA,NA
SP8-20,CO2xComm,SP8,20,Elev,NA,NA
SP9-20,CO2xComm,SP9,20,Amb,NA,NA
SP10-20,CO2xComm,SP10,20,Elev,NA,NA
SP11-20,CO2xComm,SP11,20,Amb,NA,NA
SP13-20,CO2xComm,SP13,20,Amb,NA,NA
SP14-20,CO2xComm,SP14,20,Elev,NA,NA
SP1-40,CO2xComm,SP1,40,Elev,NA,NA
SP2-40,CO2xComm,SP2,40,Amb,NA,NA
SP4-40,CO2xComm,SP4,40,Elev,NA,NA
SP5-40,CO2xComm,SP5,40,Amb,NA,NA
SP8-40,CO2xComm,SP8,40,Elev,NA,NA
SP9-40,CO2xComm,SP9,40,Amb,NA,NA
SP10-40,CO2xComm,SP10,40,Elev,NA,NA
SP11-40,CO2xComm,SP11,40,Amb,NA,NA
SP13-40,CO2xComm,SP13,40,Amb,NA,NA
SP14-40,CO2xComm,SP14,40,Elev,NA,NA
310-10,SMARTX,310,10,Amb,NA,0
311-10,SMARTX,311,10,Amb,NA,1.7
312-10,SMARTX,312,10,Amb,NA,3.4
313-10,SMARTX,313,10,Amb,NA,5.1
320-10,SMARTX,320,10,Amb,NA,0
321-10,SMARTX,321,10,Amb,NA,1.7
322-10,SMARTX,322,10,Amb,NA,3.4
323-10,SMARTX,323,10,Amb,NA,5.1
330-10,SMARTX,330,10,Amb,NA,0
331-10,SMARTX,331,10,Amb,NA,1.7
332-10,SMARTX,332,10,Amb,NA,3.4
333-10,SMARTX,333,10,Amb,NA,5.1
440-10,SMARTX,440,10,Amb,NA,0
441-10,SMARTX,441,10,Amb,NA,1.7
442-10,SMARTX,442,10,Amb,NA,3.4
443-10,SMARTX,443,10,Amb,NA,5.1
450-10,SMARTX,450,10,Amb,NA,0
451-10,SMARTX,451,10,Amb,NA,1.7
452-10,SMARTX,452,10,Amb,NA,3.4
453-10,SMARTX,453,10,Amb,NA,5.1
460-10,SMARTX,460,10,Amb,NA,0
461-10,SMARTX,461,10,Amb,NA,1.7
462-10,SMARTX,462,10,Amb,NA,3.4
463-10,SMARTX,463,10,Amb,NA,5.1
610-10,SMARTX,610,10,Elev,NA,0
613-10,SMARTX,613,10,Elev,NA,5.1
620-10,SMARTX,620,10,Elev,NA,0
623-10,SMARTX,623,10,Elev,NA,5.1
630-10,SMARTX,630,10,Elev,NA,0
633-10,SMARTX,633,10,Elev,NA,5.1
310-20,SMARTX,310,20,Amb,NA,0
311-20,SMARTX,311,20,Amb,NA,1.7
312-20,SMARTX,312,20,Amb,NA,3.4
313-20,SMARTX,313,20,Amb,NA,5.1
320-20,SMARTX,320,20,Amb,NA,0
321-20,SMARTX,321,20,Amb,NA,1.7
322-20,SMARTX,322,20,Amb,NA,3.4
323-20,SMARTX,323,20,Amb,NA,5.1
330-20,SMARTX,330,20,Amb,NA,0
331-20,SMARTX,331,20,Amb,NA,1.7
332-20,SMARTX,332,20,Amb,NA,3.4
333-20,SMARTX,333,20,Amb,NA,5.1
440-20,SMARTX,440,20,Amb,NA,0
441-20,SMARTX,441,20,Amb,NA,1.7
442-20,SMARTX,442,20,Amb,NA,3.4
443-20,SMARTX,443,20,Amb,NA,5.1
450-20,SMARTX,450,20,Amb,NA,0
451-20,SMARTX,451,20,Amb,NA,1.7
452-20,SMARTX,452,20,Amb,NA,3.4
453-20,SMARTX,453,20,Amb,NA,5.1
460-20,SMARTX,460,20,Amb,NA,0
461-20,SMARTX,461,20,Amb,NA,1.7
462-20,SMARTX,462,20,Amb,NA,3.4
463-20,SMARTX,463,20,Amb,NA,5.1
610-20,SMARTX,610,20,Elev,NA,0
613-20,SMARTX,613,20,Elev,NA,5.1
620-20,SMARTX,620,20,Elev,NA,0
623-20,SMARTX,623,20,Elev,NA,5.1
630-20,SMARTX,630,20,Elev,NA,0
633-20,SMARTX,633,20,Elev,NA,5.1
310-40,SMARTX,310,40,Amb,NA,0
311-40,SMARTX,311,40,Amb,NA,1.7
312-40,SMARTX,312,40,Amb,NA,3.4
313-40,SMARTX,313,40,Amb,NA,5.1
320-40,SMARTX,320,40,Amb,NA,0
321-40,SMARTX,321,40,Amb,NA,1.7
322-40,SMARTX,322,40,Amb,NA,3.4
323-40,SMARTX,323,40,Amb,NA,5.1
330-40,SMARTX,330,40,Amb,NA,0
331-40,SMARTX,331,40,Amb,NA,1.7
332-40,SMARTX,332,40,Amb,NA,3.4
333-40,SMARTX,333,40,Amb,NA,5.1
440-40,SMARTX,440,40,Amb,NA,0
441-40,SMARTX,441,40,Amb,NA,1.7
442-40,SMARTX,442,40,Amb,NA,3.4
443-40,SMARTX,443,40,Amb,NA,5.1
450-40,SMARTX,450,40,Amb,NA,0
451-40,SMARTX,451,40,Amb,NA,1.7
452-40,SMARTX,452,40,Amb,NA,3.4
453-40,SMARTX,453,40,Amb,NA,5.1
460-40,SMARTX,460,40,Amb,NA,0
461-40,SMARTX,461,40,Amb,NA,1.7
462-40,SMARTX,462,40,Amb,NA,3.4
463-40,SMARTX,463,40,Amb,NA,5.1
610-40,SMARTX,610,40,Elev,NA,0
613-40,SMARTX,613,40,Elev,NA,5.1
620-40,SMARTX,620,40,Elev,NA,0
623-40,SMARTX,623,40,Elev,NA,5.1
630-40,SMARTX,630,40,Elev,NA,0
633-40,SMARTX,633,40,Elev,NA,5.1
310-80,SMARTX,310,80,Amb,NA,0
311-80,SMARTX,311,80,Amb,NA,1.7
312-80,SMARTX,312,80,Amb,NA,3.4
313-80,SMARTX,313,80,Amb,NA,5.1
320-80,SMARTX,320,80,Amb,NA,0
321-80,SMARTX,321,80,Amb,NA,1.7
322-80,SMARTX,322,80,Amb,NA,3.4
323-80,SMARTX,323,80,Amb,NA,5.1
330-80,SMARTX,330,80,Amb,NA,0
331-80,SMARTX,331,80,Amb,NA,1.7
332-80,SMARTX,332,80,Amb,NA,3.4
333-80,SMARTX,333,80,Amb,NA,5.1
440-80,SMARTX,440,80,Amb,NA,0
441-80,SMARTX,441,80,Amb,NA,1.7
442-80,SMARTX,442,80,Amb,NA,3.4
443-80,SMARTX,443,80,Amb,NA,5.1
450-80,SMARTX,450,80,Amb,NA,0
451-80,SMARTX,451,80,Amb,NA,1.7
452-80,SMARTX,452,80,Amb,NA,3.4
453-80,SMARTX,453,80,Amb,NA,5.1
460-80,SMARTX,460,80,Amb,NA,0
461-80,SMARTX,461,80,Amb,NA,1.7
462-80,SMARTX,462,80,Amb,NA,3.4
463-80,SMARTX,463,80,Amb,NA,5.1
610-80,SMARTX,610,80,Elev,NA,0
613-80,SMARTX,613,80,Elev,NA,5.1
620-80,SMARTX,620,80,Elev,NA,0
623-80,SMARTX,623,80,Elev,NA,5.1
630-80,SMARTX,630,80,Elev,NA,0
633-80,SMARTX,633,80,Elev,NA,5.1
310-120,SMARTX,310,120,Amb,NA,0
311-120,SMARTX,311,120,Amb,NA,1.7
312-120,SMARTX,312,120,Amb,NA,3.4
313-120,SMARTX,313,120,Amb,NA,5.1
320-120,SMARTX,320,120,Amb,NA,0
321-120,SMARTX,321,120,Amb,NA,1.7
322-120,SMARTX,322,120,Amb,NA,3.4
323-120,SMARTX,323,120,Amb,NA,5.1
330-120,SMARTX,330,120,Amb,NA,0
331-120,SMARTX,331,120,Amb,NA,1.7
332-120,SMARTX,332,120,Amb,NA,3.4
333-120,SMARTX,333,120,Amb,NA,5.1
440-120,SMARTX,440,120,Amb,NA,0
441-120,SMARTX,441,120,Amb,NA,1.7
442-120,SMARTX,442,120,Amb,NA,3.4
443-120,SMARTX,443,120,Amb,NA,5.1
450-120,SMARTX,450,120,Amb,NA,0
451-120,SMARTX,451,120,Amb,NA,1.7
452-120,SMARTX,452,120,Amb,NA,3.4
453-120,SMARTX,453,120,Amb,NA,5.1
460-120,SMARTX,460,120,Amb,NA,0
461-120,SMARTX,461,120,Amb,NA,1.7
462-120,SMARTX,462,120,Amb,NA,3.4
463-120,SMARTX,463,120,Amb,NA,5.1
610-120,SMARTX,610,120,Elev,NA,0
613-120,SMARTX,613,120,Elev,NA,5.1
620-120,SMARTX,620,120,Elev,NA,0
623-120,SMARTX,623,120,Elev,NA,5.1
630-120,SMARTX,630,120,Elev,NA,0
633-120,SMARTX,633,120,Elev,NA,5.1
